# xe from the camb with planck-2018 parameters
a  tau   xe xe_a
8.6273452010037078E-006   3.9697375323897108        1.1637731485261236        1.1637731485261236
8.6352247042883213E-006   3.9733370782406623        1.1637731485261236        1.1637731485261236
8.6431114551350061E-006   3.9769398879674251        1.1637731485261236        1.1637731485261236
8.6510054603020940E-006   3.9805459645295209        1.1637731485261236        1.1637731485261236
8.6589067265543359E-006   3.9841553108891326        1.1637731485261236        1.1637731485261236
8.6668152606629689E-006   3.9877679300111333        1.1637731485261236        1.1637731485261236
8.6747310694057407E-006   3.9913838248631017        1.1637731485261236        1.1637731485261236
8.6826541595668482E-006   3.9950029984152877        1.1637731485261236        1.1637731485261236
8.6905845379369916E-006   3.9986254536406420        1.1637731485261236        1.1637731485261236
8.6985222113133582E-006   4.0022511935148026        1.1637731485261236        1.1637731485261236
8.7064671864996840E-006   4.0058802210161275        1.1637731485261236        1.1637731485261236
8.7144194703061749E-006   4.0095125391256552        1.1637731485261236        1.1637731485261236
8.7223790695495710E-006   4.0131481508271341        1.1637731485261236        1.1637731485261236
8.7303459910531138E-006   4.0167870591070081        1.1637731485261236        1.1637731485261236
8.7383202416466299E-006   4.0204292669544532        1.1637731485261236        1.1637731485261236
8.7463018281664376E-006   4.0240747773613350        1.1637731485261236        1.1637731485261236
8.7542907574554145E-006   4.0277235933222357        1.1637731485261236        1.1637731485261236
8.7622870363629756E-006   4.0313757178344511        1.1637731485261236        1.1637731485261236
8.7702906717451360E-006   4.0350311538980099        1.1637731485261236        1.1637731485261236
8.7783016704644313E-006   4.0386899045156444        1.1637731485261236        1.1637731485261236
8.7863200393899888E-006   4.0423519726928152        1.1637731485261236        1.1637731485261236
8.7943457853974882E-006   4.0460173614377002        1.1637731485261236        1.1637731485261236
8.8023789153692484E-006   4.0496860737612268        1.1637731485261236        1.1637731485261236
8.8104194361941291E-006   4.0533581126770333        1.1637731485261236        1.1637731485261236
8.8184673547675833E-006   4.0570334812014845        1.1637731485261236        1.1637731485261236
8.8265226779917232E-006   4.0607121823537096        1.1637731485261236        1.1637731485261236
8.8345854127752224E-006   4.0643942191555498        1.1637731485261236        1.1637731485261236
8.8426555660333833E-006   4.0680795946315929        1.1637731485261236        1.1637731485261236
8.8507331446881217E-006   4.0717683118091639        1.1637731485261236        1.1637731485261236
8.8588181556680249E-006   4.0754603737183519        1.1637731485261236        1.1637731485261236
8.8669106059082819E-006   4.0791557833919763        1.1637731485261236        1.1637731485261236
8.8750105023507275E-006   4.0828545438656079        1.1637731485261236        1.1637731485261236
8.8831178519438371E-006   4.0865566581775674        1.1637731485261236        1.1637731485261236
8.8912326616427984E-006   4.0902621293689512        1.1637731485261236        1.1637731485261236
8.8993549384094088E-006   4.0939709604835919        1.1637731485261236        1.1637731485261236
8.9074846892121442E-006   4.0976831545680854        1.1637731485261236        1.1637731485261236
8.9156219210261564E-006   4.1013987146717872        1.1637731485261236        1.1637731485261236
8.9237666408333230E-006   4.1051176438468380        1.1637731485261236        1.1637731485261236
8.9319188556221621E-006   4.1088399451481248        1.1637731485261236        1.1637731485261236
8.9400785723879072E-006   4.1125656216333102        1.1637731485261236        1.1637731485261236
8.9482457981324866E-006   4.1162946763628261        1.1637731485261236        1.1637731485261236
8.9564205398645763E-006   4.1200271123998959        1.1637731485261236        1.1637731485261236
8.9646028045995300E-006   4.1237629328105019        1.1637731485261236        1.1637731485261236
8.9727925993594222E-006   4.1275021406634069        1.1637731485261236        1.1637731485261236
8.9809899311731065E-006   4.1312447390301754        1.1637731485261236        1.1637731485261236
8.9891948070761319E-006   4.1349907309851384        1.1637731485261236        1.1637731485261236
8.9974072341107998E-006   4.1387401196054192        1.1637731485261236        1.1637731485261236
9.0056272193261555E-006   4.1424929079709267        1.1637731485261236        1.1637731485261236
9.0138547697780429E-006   4.1462490991643799        1.1637731485261236        1.1637731485261236
9.0220898925290311E-006   4.1500086962712777        1.1637731485261236        1.1637731485261236
9.0303325946484707E-006   4.1537717023799177        1.1637731485261236        1.1637731485261236
9.0385828832124748E-006   4.1575381205813935        1.1637731485261236        1.1637731485261236
9.0468407653040009E-006   4.1613079539696249        1.1637731485261236        1.1637731485261236
9.0551062480127365E-006   4.1650812056413118        1.1637731485261236        1.1637731485261236
9.0633793384351900E-006   4.1688578786959711        1.1637731485261236        1.1637731485261236
9.0716600436746625E-006   4.1726379762359231        1.1637731485261236        1.1637731485261236
9.0799483708413146E-006   4.1764215013663231        1.1637731485261236        1.1637731485261236
9.0882443270520782E-006   4.1802084571951186        1.1637731485261236        1.1637731485261236
9.0965479194307255E-006   4.1839988468330844        1.1637731485261236        1.1637731485261236
9.1048591551078493E-006   4.1877926733938082        1.1637731485261236        1.1637731485261236
9.1131780412209288E-006   4.1915899399937206        1.1637731485261236        1.1637731485261236
9.1215045849142445E-006   4.1953906497520590        1.1637731485261236        1.1637731485261236
9.1298387933389519E-006   4.1991948057908974        1.1637731485261236        1.1637731485261236
9.1381806736530350E-006   4.2030024112351283        1.1637731485261236        1.1637731485261236
9.1465302330214099E-006   4.2068134692125048        1.1637731485261236        1.1637731485261236
9.1548874786158200E-006   4.2106279828535929        1.1637731485261236        1.1637731485261236
9.1632524176148761E-006   4.2144459552917937        1.1637731485261236        1.1637731485261236
9.1716250572041334E-006   4.2182673896633753        1.1637731485261236        1.1637731485261236
9.1800054045760043E-006   4.2220922891074286        1.1637731485261236        1.1637731485261236
9.1883934669298031E-006   4.2259206567658927        1.1637731485261236        1.1637731485261236
9.1967892514717489E-006   4.2297524957835542        1.1637731485261236        1.1637731485261236
9.2051927654150236E-006   4.2335878093080703        1.1637731485261236        1.1637731485261236
9.2136040159796851E-006   4.2374266004899317        1.1637731485261236        1.1637731485261236
9.2220230103927270E-006   4.2412688724824896        1.1637731485261236        1.1637731485261236
9.2304497558880801E-006   4.2451146284419528        1.1637731485261236        1.1637731485261236
9.2388842597066579E-006   4.2489638715274083        1.1637731485261236        1.1637731485261236
9.2473265290962809E-006   4.2528166049007901        1.1637731485261236        1.1637731485261236
9.2557765713117439E-006   4.2566728317269042        1.1637731485261236        1.1637731485261236
9.2642343936147857E-006   4.2605325551734188        1.1637731485261236        1.1637731485261236
9.2727000032741755E-006   4.2643957784108979        1.1637731485261236        1.1637731485261236
9.2811734075656079E-006   4.2682625046127587        1.1637731485261236        1.1637731485261236
9.2896546137717806E-006   4.2721327369553004        1.1637731485261236        1.1637731485261236
9.2981436291823642E-006   4.2760064786176963        1.1637731485261236        1.1637731485261236
9.3066404610940885E-006   4.2798837327820261        1.1637731485261236        1.1637731485261236
9.3151451168106340E-006   4.2837645026332316        1.1637731485261236        1.1637731485261236
9.3236576036426945E-006   4.2876487913591399        1.1637731485261236        1.1637731485261236
9.3321779289080504E-006   4.2915366021504981        1.1637731485261236        1.1637731485261236
9.3407060999314393E-006   4.2954279382009144        1.1637731485261236        1.1637731485261236
9.3492421240446650E-006   4.2993228027069081        1.1637731485261236        1.1637731485261236
9.3577860085865581E-006   4.3032211988678863        1.1637731485261236        1.1637731485261236
9.3663377609030423E-006   4.3071231298861807        1.1637731485261236        1.1637731485261236
9.3748973883470532E-006   4.3110285989670016        1.1637731485261236        1.1637731485261236
9.3834648982786073E-006   4.3149376093184770        1.1637731485261236        1.1637731485261236
9.3920402980647721E-006   4.3188501641516321        1.1637731485261236        1.1637731485261236
9.4006235950797469E-006   4.3227662666804303        1.1637731485261236        1.1637731485261236
9.4092147967047699E-006   4.3266859201217240        1.1637731485261236        1.1637731485261236
9.4178139103281860E-006   4.3306091276952934        1.1637731485261236        1.1637731485261236
9.4264209433454195E-006   4.3345358926238244        1.1637731485261236        1.1637731485261236
9.4350359031590539E-006   4.3384662181329530        1.1637731485261236        1.1637731485261236
9.4436587971787471E-006   4.3424001074512173        1.1637731485261236        1.1637731485261236
9.4522896328212787E-006   4.3463375638100867        1.1637731485261236        1.1637731485261236
9.4609284175105537E-006   4.3502785904439580        1.1637731485261236        1.1637731485261236
9.4695751586776533E-006   4.3542231905901776        1.1637731485261236        1.1637731485261236
9.4782298637607582E-006   4.3581713674890104        1.1637731485261236        1.1637731485261236
9.4868925402051999E-006   4.3621231243836558        1.1637731485261236        1.1637731485261236
9.4955631954635148E-006   4.3660784645202790        1.1637731485261236        1.1637731485261236
9.5042418369953528E-006   4.3700373911479646        1.1637731485261236        1.1637731485261236
9.5129284722675548E-006   4.3739999075187486        1.1637731485261236        1.1637731485261236
9.5216231087541261E-006   4.3779660168876138        1.1637731485261236        1.1637731485261236
9.5303257539363074E-006   4.3819357225125133        1.1637731485261236        1.1637731485261236
9.5390364153024781E-006   4.3859090276543302        1.1637731485261236        1.1637731485261236
9.5477551003482445E-006   4.3898859355769169        1.1637731485261236        1.1637731485261236
9.5564818165763941E-006   4.3938664495470716        1.1637731485261236        1.1637731485261236
