# zeff dv/rd v_err dm/rd m_err dh/rd h_err
0.15 4.51 0.14 0.00 0.00 0.00 0.00
0.38 0.00 0.00 10.27 0.15 24.89 0.58
0.51 0.00 0.00 13.38 0.18 22.43 0.48
0.70 0.00 0.00 17.65 0.30 19.78 0.46
0.85 0.00 0.00 19.5  1.0  19.6  2.1
1.48 0.00 0.00 30.21 0.79 13.23 0.47
2.33 0.00 0.00 37.6  1.9  8.93  0.28
2.33 0.00 0.00 37.3  1.7  9.08  0.34
